,i,score,label
0,1,,
1,2,,
2,3,,
3,5,,
4,6,,
5,7,,
6,9,,
7,11,75.79,1.0
8,12,,
9,13,,
10,14,,
11,15,,
12,16,,
13,18,,
14,19,,
15,20,,
16,21,,
17,22,,
18,23,,
19,24,81.8,1.0
20,25,72.23,1.0
21,26,,
22,27,,
23,28,93.8,1.0
24,29,,
25,30,,
26,31,,
27,32,66.8,1.0
28,33,77.75,1.0
29,34,,
30,35,,
31,36,,
32,37,,
33,38,,
34,39,,
35,40,,
36,41,85.76,1.0
37,42,,
38,43,62.31,1.0
39,44,83.88,1.0
40,46,,
41,47,,
42,48,,
43,49,78.14,1.0
44,50,,
45,51,,
46,52,74.33,1.0
47,53,,
48,54,86.4,1.0
49,55,,
50,56,,
51,57,,
52,58,,
53,60,84.0,1.0
54,61,,
55,62,,
56,63,,
57,64,90.11,1.0
58,65,93.1,1.0
59,66,,
60,67,,
61,68,89.05,1.0
62,70,,
63,71,,
64,72,,
65,73,,
66,74,82.0,1.0
67,75,,
68,76,,
69,77,,
70,78,,
71,79,,
72,80,,
73,81,77.15,1.0
74,83,72.5,1.0
75,84,,
76,85,,
77,86,,
78,87,,
79,88,,
80,89,86.45,1.0
81,90,,
82,91,,
83,92,,
84,93,,
85,94,,
86,95,,
87,96,,
88,97,,
89,98,,
90,99,,
91,100,,
92,101,,
93,103,,
94,104,,
95,105,,
96,106,,
97,107,74.77,1.0
98,108,,
99,109,,
100,110,,
101,111,71.8,1.0
102,112,82.96,1.0
103,113,,
104,114,,
105,115,84.44,1.0
106,116,,
107,117,90.0,1.0
108,118,,
109,119,,
110,120,,
111,121,,
112,122,,
113,124,,
114,125,,
115,126,64.06,1.0
116,127,,
117,128,,
118,129,,
119,130,,
120,131,,
121,132,,
122,133,,
123,134,,
124,135,,
125,136,80.12,1.0
126,137,,
127,138,,
128,139,,
129,140,90.25,1.0
130,141,,
131,142,,
132,143,,
133,144,,
134,145,,
135,146,,
136,147,,
137,148,,
138,149,,
139,150,,
140,151,,
141,152,,
142,153,,
143,154,,
144,155,,
145,156,,
146,158,,
147,159,79.45,1.0
148,160,,
149,161,,
150,162,,
151,163,,
152,164,,
153,165,,
154,166,,
155,167,,
156,168,,
157,169,,
158,170,,
159,171,,
160,172,,
161,173,,
162,174,90.26,1.0
163,175,,
164,176,74.86,1.0
165,177,,
166,178,90.0,1.0
167,179,,
168,180,,
169,181,,
170,182,,
171,183,,
172,184,,
173,185,,
174,186,,
175,187,,
176,188,89.78,1.0
177,189,,
178,190,,
179,191,,
180,192,,
181,193,,
182,194,,
183,195,,
184,196,,
185,197,90.5,1.0
186,198,,
187,199,,
188,200,,
189,201,,
190,202,,
191,203,,
192,204,,
193,205,,
194,206,82.8,1.0
195,207,,
196,208,,
197,209,,
198,210,,
199,211,,
200,212,,
201,213,,
202,214,,
203,215,87.82,1.0
204,216,,
205,217,,
206,218,,
207,219,,
208,220,83.13,1.0
209,221,,
210,222,,
211,223,,
212,224,,
213,225,83.0,1.0
214,226,,
215,227,86.5,1.0
216,228,90.8,1.0
217,229,83.75,1.0
218,230,90.71,1.0
219,232,89.35,1.0
220,233,,
221,234,,
222,235,85.58,1.0
223,236,,
224,237,,
225,238,,
226,241,,
227,242,,
228,243,,
229,244,,
230,245,,
231,246,,
232,247,,
233,249,,
234,251,,
235,254,,
236,255,,
237,256,,
238,257,,
239,258,,
240,259,,
241,260,,
242,261,,
243,262,,
244,263,,
245,265,86.7,1.0
246,266,,
247,267,86.07,1.0
248,269,,
249,270,,
250,271,,
251,272,,
252,273,,
253,274,,
254,276,88.66,1.0
255,277,,
256,278,,
257,279,,
258,280,,
259,281,85.38,1.0
260,282,,
261,283,,
262,284,,
263,285,,
264,286,83.0,1.0
265,287,,
266,288,,
267,289,,
268,290,,
269,467,,
270,291,85.99,1.0
271,292,,
272,293,,
273,294,,
274,295,,
275,296,,
276,297,,
277,298,,
278,299,,
279,300,,
280,301,,
281,302,,
282,303,,
283,304,81.0,1.0
284,305,,
285,306,,
286,307,,
287,308,,
288,309,,
289,310,,
290,312,,
291,313,,
292,314,,
293,315,,
294,316,,
295,317,,
296,318,,
297,319,,
298,320,,
299,322,,
300,323,,
301,325,,
302,326,,
303,328,,
304,329,,
305,330,,
306,331,,
307,332,90.27,1.0
308,333,,
309,334,85.38,1.0
310,335,,
311,336,,
312,337,,
313,338,,
314,340,,
315,341,,
316,342,,
317,343,87.19,1.0
318,344,,
319,346,,
320,347,,
321,348,83.05,1.0
322,349,,
323,350,,
324,351,,
325,352,,
326,353,,
327,354,83.2,1.0
328,355,,
329,356,,
330,357,,
331,358,,
332,359,,
333,360,,
334,361,,
335,362,,
336,363,,
337,364,,
338,366,81.78,1.0
339,367,,
340,368,,
341,369,,
342,370,91.57,1.0
343,371,,
344,372,,
345,373,,
346,374,,
347,375,,
348,376,,
349,377,,
350,378,,
351,379,,
352,380,,
353,381,89.5,1.0
354,382,92.77,1.0
355,383,72.26,1.0
356,384,,
357,386,92.45,1.0
358,387,88.47,1.0
359,389,,
360,391,,
361,392,,
362,393,,
363,394,,
364,395,,
365,396,91.32,1.0
366,397,87.0,1.0
367,398,,
368,399,,
369,400,,
370,401,,
371,402,,
372,403,,
373,404,,
374,405,88.08,1.0
375,406,,
376,407,,
377,408,,
378,409,,
379,410,,
380,411,,
381,412,,
382,413,89.36,1.0
383,414,78.43,1.0
384,415,,
385,416,,
386,417,,
387,419,,
388,420,,
389,421,,
390,423,,
391,424,,
392,425,,
393,426,93.0,1.0
394,428,88.09,1.0
395,429,,
396,430,,
397,431,90.67,1.0
398,432,,
399,433,87.63,1.0
400,434,,
401,435,,
402,436,,
403,437,,
404,438,,
405,439,,
406,440,,
407,441,,
408,442,78.25,1.0
409,443,,
410,444,87.76,1.0
411,445,,
412,446,,
413,447,88.92,1.0
414,448,,
415,449,,
416,450,,
417,451,86.57,1.0
418,452,,
419,453,,
420,455,,
421,456,,
422,457,,
423,458,,
424,459,,
425,460,88.43,1.0
426,461,,
427,462,,
428,463,,
429,464,,
430,465,,
431,466,,
432,468,,
433,469,,
434,470,,
435,472,87.75,1.0
436,473,,
437,475,,
438,476,,
439,477,87.95,1.0
440,478,,
441,479,,
442,480,,
443,481,,
444,482,,
445,483,,
446,484,,
447,485,,
448,487,,
449,488,,
450,489,,
451,490,,
452,491,,
453,492,,
454,493,,
455,495,,
456,496,,
457,497,,
458,498,88.0,1.0
459,499,,
460,500,73.52,1.0
461,501,88.29,1.0
462,502,,
463,503,,
464,504,,
465,505,,
466,506,,
467,507,84.71,1.0
468,508,,
469,509,,
470,510,,
471,511,,
472,512,,
473,513,,
474,514,92.0,1.0
475,515,,
476,516,,
477,517,,
478,518,,
479,519,,
480,520,,
481,522,,
482,523,,
483,524,,
484,525,,
485,526,,
486,527,,
487,528,88.36,1.0
488,529,88.45,1.0
489,530,91.77,1.0
490,531,,
491,532,,
492,533,89.73,1.0
493,534,,
494,536,,
495,537,,
496,538,,
497,539,,
498,540,,
499,541,92.0,1.0
500,542,93.0,1.0
501,543,,
502,544,86.3,1.0
503,546,93.5,1.0
504,547,,
505,548,,
506,550,,
507,551,,
508,552,,
509,553,,
510,554,82.85,1.0
511,555,86.78,1.0
512,556,,
513,557,,
514,558,,
515,559,83.76,1.0
516,560,,
517,562,,
518,563,,
519,564,,
520,565,,
521,566,,
522,568,,
523,569,,
524,570,,
525,571,,
526,572,,
527,573,,
528,574,85.95,1.0
529,575,,
530,577,,
531,578,,
532,579,86.8,1.0
533,580,,
534,581,,
535,582,,
536,583,88.9,1.0
537,584,,
538,585,79.6,1.0
539,586,,
540,587,,
541,588,,
542,589,,
