,Unnamed: 0,uid,apply_type,cet4,cet6,grade_points,honour,project,ranking_absolu,ranking,level,location,label,score
0,1,2,0.0,556.0,513.0,0.9473,二等奖学金2016-2017学年福建农林大学优秀学生二等奖学金校级省“创青春”铜奖2017-2018学年福建省“创青春”大学生创业大赛公益创业赛铜奖（第一负责人）省市级福建省三创赛二等奖2018-2019学年福建省大学生电子商务“创新、创意及创业”挑战赛二等奖（第一负责人）省市级高校商业精英挑战赛2017-2018学年全国高校商业精英挑战赛“启课程杯”会计与商业管理案例竞赛三等奖（第四负责人）国家级大学生英语竞赛获奖2017-2018学年全国大学生英语竞赛（NECCS）C类三等奖国家级全国林业创新创业大赛2018-2019学年全国林业创新创业大赛优胜奖（第三负责人）国家级服创赛三等奖2018-2019学年中国大学生服务外包创新创业大赛三等奖（第二负责人）国家级软件著作权软件著作权成果《基于区块链分布式记账的财务管理系统》其他,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,5.0,4.0,1.0,35.0,0.0,0.0
1,2,3,0.0,478.0,442.0,0.9975,2017-2018学年度国家nan省市级2017-2018学年度优秀nan校级2018-2019学年度优秀nan校级2018年暑期社会实践院nan院级,0,44.0,2.0,2.0,51.0,0.0,0.0
2,3,5,0.0,515.0,492.0,0.94,计算机二级nan国家级“世纪之星”英语阅读非专业组三等奖校级金融科技创新能力大赛“京津冀高校金融科技创新能力大赛暨全国大学生金融科技创新能力大赛京津冀地区选拔赛” 优秀团队奖省市级证券从业资格证科目一国家级期货从业资格证nan国家级高中数学教师资格证成绩合格证明国家级,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,71.0,1.0,1.0,13.0,0.0,0.0
3,4,6,0.0,496.0,469.0,0.9325,园冶杯大学生国际竞赛“园冶杯”大学生国际竞赛提名奖国家级计算机设计大赛计算机设计大赛环境设计类国家三等奖国家级百万同题英语写作大赛“百万同题”英语写作大赛优秀作品奖国家级英文写作大赛安徽农业大学英文写作大赛优秀奖校级互联网+“互联网+”大学生创新创业比赛校级三等奖校级专业特等奖学金nan校级职场模拟面试大赛“校友杯”职场模拟面试大赛二等奖院级兴林杯大学生创客大赛“兴林杯”大学生创客大赛一等奖院级三好学生nan校级优秀共青团干部nan校级优秀共青团员nan校级,0,36.0,3.0,1.0,34.0,0.0,0.0
4,6,9,0.0,507.0,455.0,0.895,全国大学生数学建模国家级本科组二等奖国家级全国大学生英语竞赛c类三等奖国家级挑战杯学术科技竞赛省赛三等奖省市级云南省政府奖学金nan省市级外研社写作大赛一等奖nan校级云南民族大学三好学生nan校级学术科技奖学金nan校级,大学生创新项目校级立项nannan云南民族大学暑期科研校级立项调查报告其他,17.0,3.0,1.0,53.0,0.0,0.0
6,8,12,0.0,587.0,463.0,0.94,土地规划利用大赛全国大学生土地利用规划技能大赛二等奖国家级足球场规划利用大赛南京农业大学足球场规划利用大赛一等奖校级植物电子地图制作大赛南京农业大学植物电子地图制作大赛三等奖校级优秀调研报告南京农业大学暑期三下乡社会实践优秀调研报告校级优秀共青团员南京农业大学2016年度优秀共青团员校级优秀志愿者南京农业大学园艺学院2018年度优秀志愿者院级外观设计专利园林灯外观设计专利国家级,0,4.888888888888888,9.0,2.0,32.0,0.0,0.0
7,9,13,0.0,564.0,533.0,0.9175,全国大学生英语竞赛C类二等奖其他全国大学生数学建模河北赛区本科组一等奖省市级全国大学生市调大赛河北赛区二等奖省市级2019挑战杯河北赛区二等奖省市级,2019年调研河北社会调查活动立项省市级,86.0,1.0,1.0,13.0,0.0,0.0
8,10,14,0.0,481.0,0.0,0.9011,夏令营优秀营员北京林业大学环境科学与工程学院暑期夏令营其他国家励志奖学金nan国家级校一等奖学金nan校级科普创意作品发明大赛nan校级新媒体作品大赛nan校级三好学生nan校级社会活动优秀奖nan校级优秀共青团员nan校级大学生环保知识竞赛优秀奖国家级,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,34.0,2.0,1.0,13.0,0.0,0.0
9,11,15,0.0,513.0,533.0,0.8079999999999999,奖学金、三好学生2019.04：河南工业大学三好学生2018.11：国家奖学金2018.11：河南工业大学第四届企业模拟经营（ERP沙盘）竞赛二等奖2018.06：河南省省级三好学生2018.04：河南工业大学三好学生2017.12：河南工业大学第二届“外语杯”专业竞赛二等奖2017.11：国家励志奖学金国家级,《人力资源管理操作实务》《人力资源管理操作实务》章节案例其他,129.0,1.0,1.0,41.0,0.0,0.0
825,930,1008,1.0,476.0,440.0,0.8442000000000001,优秀学生干部nan院级大广赛优秀奖nan省市级艺术知识竞赛优秀奖nan校级宿舍风采大赛一等奖nan院级林影服饰设计大赛三等nan校级,0,3.0,11.0,2.0,11.0,1.0,88.45
826,931,1009,1.0,556.0,529.0,0.8649,校优秀学生三等奖学金nan校级,0,2.605633802816901,71.0,2.0,11.0,1.0,84.96
827,932,1010,0.0,492.0,528.0,0.8925,优秀团员nan院级优秀学生二等奖学金nan校级优秀学生三等奖学金nan校级青兰计划综合优秀奖学nan校级,0,45.75,4.0,2.0,11.0,1.0,81.71
828,933,1011,0.0,463.0,479.0,0.8856,0,0,8.125,24.0,2.0,11.0,1.0,84.36
830,936,1014,0.0,468.0,0.0,0.8851,0,0,7.399999999999999,25.0,2.0,11.0,1.0,83.93
831,937,1015,0.0,542.0,0.0,0.8937,0,0,14.230769230769232,13.0,2.0,11.0,1.0,79.84
832,938,1016,0.0,497.0,0.0,0.8887,0,0,10.210526315789474,19.0,2.0,11.0,1.0,85.81
